Year,Real GDP (Chained 2012 USD),Real GDP (Chained 2009 USD),Growth Rate (2012),Growth Rate (2009)
1947,2036.204,1939.4,,
1948,2119.95925,2020,0.041133035,0.041559245
1949,2107.999,2008.9,-0.005641736,-0.00549505
1950,2291.1105,2184,0.086865079,0.087162129
1951,2475.44875,2360,0.080458036,0.080586081
1952,2576.658,2456.1,0.040885213,0.040720339
1953,2697.45625,2571.4,0.046881755,0.046944343
1954,2681.854,2556.9,-0.00578406,-0.005638952
1955,2873.15975,2739,0.071333395,0.071219054
1956,2934.39125,2797.4,0.021311554,0.02132165
1957,2996.178,2856.3,0.021056071,0.021055266
1958,2973.98225,2835.3,-0.007408021,-0.007352169
1959,3180.22,3031,0.069347337,0.069022678
1960,3262.061,3108.7,0.025734383,0.025635104
1961,3345.69025,3188.1,0.025636936,0.025541223
1962,3550.68375,3383.1,0.061270914,0.061164957
1963,3705.31775,3530.4,0.043550485,0.043539949
1964,3918.79075,3734,0.057612603,0.057670519
1965,4173.42375,3976.7,0.064977442,0.064997322
1966,4448.703,4238.9,0.065960053,0.065934066
1967,4570.709,4355.2,0.027425072,0.027436363
1968,4795.387,4569,0.04915605,0.049090742
1969,4945.23525,4712.5,0.031248416,0.03140731
1970,4954.43575,4722,0.001860478,0.002015915
1971,5117.603,4877.6,0.032933569,0.032952139
1972,5386.733,5134.3,0.052589073,0.052628342
1973,5690.85275,5424.1,0.056457179,0.056443916
1974,5660.09075,5396,-0.005405517,-0.005180583
1975,5648.46175,5385.4,-0.002054561,-0.001964418
1976,5952.809,5675.4,0.053881439,0.053849296
1977,6228.0765,5937,0.046241615,0.046093667
1978,6572.819,6267.2,0.055352965,0.055617315
1979,6780.92375,6466.2,0.031661415,0.031752617
1980,6763.51375,6450.4,-0.002567497,-0.002443475
1981,6935.15325,6617.7,0.025377268,0.025936376
1982,6810.12,6491.3,-0.018028909,-0.019100292
1983,7122.2905,6792,0.045839207,0.046323541
1984,7637.704,7285,0.072366256,0.072585395
1985,7956.1695,7593.8,0.041696497,0.042388469
1986,8231.6635,7860.5,0.034626462,0.035120756
1987,8516.41825,8132.6,0.034592613,0.034616119
1988,8872.15425,8474.5,0.041770612,0.042040676
1989,9197.9975,8786.4,0.036726509,0.036804531
1990,9371.468,8955,0.018859594,0.019188746
1991,9361.322,8948.4,-0.001082648,-0.000737018
1992,9691.06875,9266.6,0.035224379,0.03555943
1993,9957.74625,9521,0.027517863,0.027453435
1994,10358.92325,9905.4,0.040287932,0.04037391
1995,10636.97875,10174.8,0.026842124,0.027197286
1996,11038.266,10561,0.037725679,0.03795652
1997,11529.157,11034.9,0.044471749,0.044872645
1998,12045.824,11525.9,0.044813944,0.044495193
1999,12623.361,12065.9,0.047944997,0.046851005
2000,13138.03525,12559.7,0.04077157,0.040925252
2001,13263.417,12682.2,0.009543417,0.009753418
2002,13488.357,12908.8,0.016959431,0.017867562
2003,13865.51925,13271.1,0.02796206,0.028066125
2004,14399.696,13773.5,0.03852555,0.037856696
2005,14901.269,14234.2,0.034832194,0.033448288
2006,15315.94325,14613.8,0.027828117,0.026668165
2007,15623.8715,14873.7,0.020105079,0.01778456
2008,15642.962,14830.4,0.00122188,-0.002911179
2009,15236.26225,14418.7,-0.025998897,-0.027760546
2010,15648.991,14783.8,0.027088583,0.025321284
2011,15891.534,15020.6,0.015498955,0.016017533
2012,16253.97,15354.6,0.022806861,0.022236129
2013,16553.3475,15583.3,0.018418731,0.014894559
2014,16932.05175,15961.7,0.022877805,0.024282405
2015,17390.29525,,0.027063672,
2016,17680.27375,,0.016674731,
2017,18076.6515,,0.022419209,
2018,18609.07825,,0.029453837,
2019,19036.05225,,0.022944393,
2020,18509.14275,,-0.027679557,
2021,19609.81175,,0.059466233,
2022,19952.92167,,0.017496849,
