StatisticalTable,Full,Break
1970,62289.8,62289.8
1971,68028,68028
1972,72059.2,72059.2
1973,78641.1,78641.1
1974,84594.5,84594.5
1975,89406.3,89406.3
1976,96937.2,96937.2
1977,102260.7,102260.7
1978,110991.3,110991.3
1979,120701.7,120701.7
1980,120633,120633
1981,127052.6,127052.6
1982,136652.1,136652.1
1983,149252.7,149252.7
1984,160630.7,160630.7
1985,172211.2,172211.2
1986,188378.9,188378.9
1987,204563.2,204563.2
1988,223587.6,223587.6
1989,247922.7,247922.7
1990,272970.2,272970.2
1991,297758.6,297758.6
1992,318438.4,318438.4
1993,340800.8,340800.8
1994,372380.4,372380.4
1995,412728.4,412728.4
1996,444376.9,444376.9
1997,462700.5,
1998,406475.2,
1999,456050.7,
2000,498970.7,498970.7
2001,527784.1,527784.1
2002,575063.4,575063.4
2003,572160.3,572160.3
2004,573966.1,573966.1
2005,600659.8,600659.8
2006,630396.8,630396.8
2007,663347.8,663347.8
2008,673870.9,673870.9
2009,674862.4,674862.4
2010,706108.1,706108.1
2011,726067.1,726067.1
2012,735824.9,735824.9
2013,745678.5,745678.5
2014,760603.1,760603.1
2015,777068.1,777068.1
2016,794746.1,794746.1
2017,817303.9,817303.9
2018,842550.8,842550.8
2019,860558.1,860558.1
2020,819916.9,819916.9
2021,850473.1,850473.1
2022,887236.2,887236.2
