Year,Aruba,Bahamas,Argentinia,Honduras,Brazil,Canada
1996,1.79,1,0.9995,12.8694,1.0051,1.363521636
1997,1.79,1,0.9995,13.0942,1.077991667,1.384598028
1998,1.79,1,0.9995,13.8076,1.160516667,1.483505302
1999,1.79,1,0.9995,14.5039,1.813932847,1.485704819
2000,1.79,1,0.9995,15.1407,1.829423122,1.485394095
2001,1.79,1,0.9995,15.9197,2.349631709,1.548839955
2002,1.79,1,3.32,16.9233,2.920363018,1.570342834
2003,1.79,1,2.905,17.7482,3.077475118,1.401014548
2004,1.79,1,2.959,18.6328,2.92511945,1.301281595
2005,1.79,1,3.012,18.8952,2.434390036,1.211405134
2006,1.79,1,3.042,18.8952,2.175326667,1.134344726
2007,1.79,1,3.129,18.8951,1.947058333,1.074045622
2008,1.79,1,3.433,18.8951,1.833766667,1.067086918
2009,1.79,1,3.78,18.8951,1.999428173,1.141535406
2010,1.79,1,3.956,18.8951,1.759226711,1.030112735
2011,1.79,1,4.284,19.0484,1.672828755,0.989258159
2012,1.79,1,4.898,19.9623,1.953068611,0.999364744
2013,1.79,1,6.501,20.5975,2.156089151,1.030137364
2014,1.79,1,8.51,21.5124,2.352951963,1.104747132
2015,1.79,1,13.1,22.3676,3.326904383,1.278786204
2016,1.79,1,15.9,23.5029,3.491313422,1.325615164
2017,1.79,1,18.6,23.5879,3.191389446,1.297935846
2018,1.79,1,37.6,24.3388,3.653825361,1.295817928
2019,1.79,1,59.79,24.635,3.944471097,1.326793363
2020,1.79,1,84.05,24.1141,5.155178788,1.341152672
2021,1.79,1,102.62,24.3454,5.39440079,1.253876902
2022,1.79,1,177.06,24.5978,5.163970291,1.301554775
